"","site","plot","rep","CO2","Nucleic.Acid..ng.ul.","X260.280","X260.230"
"1","21_1","21","1","Elevated",9.3,"1.67",0.4
"2","21_2","21","2","Elevated",13.9,"1.63",0.39
"3","21_3","21","3","Elevated",17.5,"1.68",1.1
"4","21_4","21","4","Elevated",11.2,"1.63",-2.8
"5","21_5","21","5","Elevated",17.5,"1.75",0.35
"6","21_6","21","6","Elevated",24.6,"1.71",0.61
"7","21_7","21","7","Elevated",18.4,"1.74",0.07
"8","21_8","21","8","Elevated",14.7,"1.69",0.25
"9","21_9","21","9","Elevated",23.5,"1.69",5.52
"10","21_10","21","10","Elevated",12.3,"1.67",7.39
"11","21_11","21","11","Elevated",22.8,"1.77",0.77
"12","21_12","21","12","Elevated",27,"1.8",0.71
"13","21_13","21","13","Elevated",11.8,"1.76",0.23
"14","21_14","21","14","Elevated",23.8,"1.74",6.25
"15","21_15","21","15","Elevated",19.1,"1.72",0.45
"16","24_1","24","1","Control",22.4,"1.62",1.87
"17","24_2","24","2","Control",27.9,"1.74",2.7
"18","24_3","24","3","Control",31.4,"1.67",2.02
"19","24_4","24","4","Control",16.2,"1.65",3.09
"20","24_5","24","5","Control",9.3,"1.51",0.27
"21","24_6","24","6","Control",14.2,"1.61",2.21
"22","24_7","24","7","Control",12.8,"1.66",1.16
"23","24_8","24","8","Control",23.3,"1.78",1.28
"24","24_9","24","9","Control",17.8,"1.65",0.14
"25","24_10","24","10","Control",27.3,"1.76",1.16
"26","24_11","24","11","Control",17.2,"1.69",0.8
"27","24_12","24","12","Control",37,"1.74",0.86
"28","24_13","24","13","Control",7.8,"1.57",0.63
"29","24_14","24","14","Control",34.9,"1.74",1.33
"30","24_15","24","15","Control",12.5,"1.6",2.59
"31","29_1","29","1","Elevated",25.7,"1.72",1.17
"32","29_2","29","2","Elevated",33.8,"1.75",2.41
"33","29_3","29","3","Elevated",45.7,"1.88",0.22
"34","29_4","29","4","Elevated",21,"1.73",1.21
"35","29_5","29","5","Elevated",29,"1.67",6.43
"36","29_6","29","6","Elevated",15.8,"1.57",-12.59
"37","29_7","29","7","Elevated",32.8,"1.73",2.05
"38","29_8","29","8","Elevated",36.8,"1.76",1.3
"39","29_9","29","9","Elevated",27.2,"1.75",1.24
"40","29_10","29","10","Elevated",6.5,"1.45",2.33
"41","29_11","29","11","Elevated",22.5,"1.6",6.34
"42","29_12","29","12","Elevated",35.4,"1.7",1.78
"43","29_13","29","13","Elevated",22.8,"1.72",0.86
"44","29_14","29","14","Elevated",15.1,"1.64",2.9
"45","29_15","29","15","Elevated",28.7,"1.69",1.97
"46","32_1","32","1","Control",53.7,"1.79",3.67
"47","32_2","32","2","Control",49.4,"1.79",2.37
"48","32_3","32","3","Control",43.9,"1.76",2.62
"49","32_4","32","4","Control",31.2,"1.73",3.5
"50","32_5","32","5","Control",25.4,"1.76",0.94
"51","32_6","32","6","Control",19.1,"1.7",3.4
"52","32_7","32","7","Control",26.5,"1.72",1.81
"53","32_8","32","8","Control",41.9,"1.75",1.89
"54","32_9","32","9","Control",36.6,"1.76",1.25
"55","32_10","32","10","Control",27,"1.66",1.92
"56","32_11","32","11","Control",43.4,"1.76",3.28
"57","32_12","32","12","Control",25.8,"1.79",0.5
"58","32_13","32","13","Control",48.4,"1.79",2.52
"59","32_14","32","14","Control",46.6,"1.77",0.67
"60","32_15","32","15","Control",19.7,"1.73",1.01
"61","25_2","25","2","Control",30.7,"1.9",0.56
"62","25_3","25","3","Control",27.2,"1.72",1.5
"63","25_4","25","4","Control",64,"1.89",0.83
"64","25_5","25","5","Control",44.2,"1.86",1.09
"65","25_6","25","6","Control",52,"1.86",0.98
"66","25_7","25","7","Control",45.5,"1.85",0.98
"67","25_8","25","8","Control",34.8,"1.87",1.06
"68","25_9","25","9","Control",44.1,"1.91",0.12
"69","25_10","25","10","Control",47,"1.83",0.61
"70","25_11","25","11","Control",24.5,"1.79",0.36
"71","25_12","25","12","Control",60.6,"1.84",0.45
"72","25_13","25","13","Control",36.3,"1.82",0.35
"73","25_14","25","14","Control",45.7,"1.86",0.84
"74","25_15","25","15","Control",42.6,"1.85",0.69
"75","20_2","20","2","Elevated",51.7,"1.85",0.9
"76","20_3","20","3","Elevated",38.5,"1.85",1.63
"77","20_4","20","4","Elevated",34.9,"1.78",0.79
"78","20_5","20","5","Elevated",42,"1.87",0.44
"79","20_6","20","6","Elevated",38,"1.84",0.95
"80","20_7","20","7","Elevated",42.9,"1.85",0.3
"81","20_8","20","8","Elevated",38,"1.84",0.86
"82","20_10","20","10","Elevated",54.1,"1.86",0.33
"83","20_11","20","11","Elevated",28.3,"1.89",0.25
"84","20_12","20","12","Elevated",28.1,"1.88",0.07
"85","20_13","20","13","Elevated",44.1,"1.85",1.31
"86","20_14","20","14","Elevated",56,"1.89",0.12
"87","20_15","20","15","Elevated",70.8,"1.85",0.52
"88","17_1","17","1","Control",13.8,"1.76",0.38
"89","17_2","17","2","Control",26.9,"1.82",1.28
"90","17_3","17","3","Control",23.7,"1.97",0.09
"91","17_4","17","4","Control",27.2,"1.86",1.38
"92","17_5","17","5","Control",21.6,"1.85",1.73
"93","17_6","17","6","Control",32.6,"1.8",1.75
"94","17_7","17","7","Control",32.4,"1.69",0.9
"95","17_8","17","8","Control",30.8,"1.91",1.02
"96","17_9","17","9","Control",30.9,"1.81",1.57
"97","17_10","17","10","Control",12.3,"1.89",1.91
"98","17_11","17","11","Control",18.1,"1.76",0.66
"99","17_12","17","12","Control",25.4,"1.85",1.81
"100","17_13","17","13","Control",26,"1.9",0.68
"101","17_14","17","14","Control",34,"1.82",1.65
"102","17_15","17","15","Control",28.3,"1.78",0.28
"103","28_1","28","1","Elevated",24.3,"1.84",1.53
"104","28_2","28","2","Elevated",34.5,"1.84",1.17
"105","28_3","28","3","Elevated",31.1,"1.88",0.11
"106","28_4","28","4","Elevated",24,"1.83",0.54
"107","28_5","28","5","Elevated",22.6,"1.83",0.87
"108","28_6","28","6","Elevated",24.1,"1.78",1.12
"109","28_7","28","7","Elevated",19.6,"1.92",1.62
"110","28_8","28","8","Elevated",18.4,"1.76",1.11
"111","28_9","28","9","Elevated",12.4,"1.87",0.77
"112","28_10","28","10","Elevated",29.7,"1.83",1.28
"113","28_11","28","11","Elevated",35.9,"1.87",0.84
"114","28_12","28","12","Elevated",40.1,"1.85",0.44
"115","28_13","28","13","Elevated",32.6,"1.82",1.86
"116","28_14","28","14","Elevated",33.1,"1.8",1.38
"117","28_15","28","15","Elevated",20.1,"1.8",0.33
